# Residuals   
# Time        	k             	nut           	omega         	p             	Urelx         	Urely         
277           	3.219374e-02	N/A	1.571237e-03	1.912372e-02	1.619098e-02	2.122275e-02
278           	1.041403e-01	N/A	1.895804e-03	1.858643e-02	1.555042e-02	2.122942e-02
279           	6.662736e-02	N/A	2.756247e-03	1.946392e-02	1.621368e-02	2.096495e-02
280           	6.186497e-02	N/A	2.198824e-03	1.906735e-02	1.552744e-02	2.084559e-02
281           	6.196312e-02	N/A	1.734536e-03	1.934590e-02	1.584092e-02	2.174306e-02
282           	3.899297e-02	N/A	1.514906e-03	1.856815e-02	1.677406e-02	2.086504e-02
283           	4.238982e-02	N/A	1.500717e-03	1.724881e-02	1.568753e-02	2.016685e-02
284           	4.797387e-02	N/A	1.513031e-03	1.514409e-02	1.482352e-02	1.875370e-02
285           	5.243501e-02	N/A	1.792373e-03	1.368395e-02	1.436777e-02	1.707803e-02
286           	6.535723e-02	N/A	1.803662e-03	1.515554e-02	1.455716e-02	1.778772e-02
287           	5.637558e-02	N/A	1.950831e-03	1.770927e-02	1.442289e-02	2.045443e-02
288           	4.527292e-02	N/A	2.018674e-03	1.996300e-02	1.612096e-02	2.099867e-02
289           	3.962132e-02	N/A	1.806440e-03	1.864360e-02	1.664784e-02	2.196277e-02
290           	3.695236e-02	N/A	1.665397e-03	1.902027e-02	1.553329e-02	2.156341e-02
291           	1.052961e-01	N/A	1.963951e-03	1.917476e-02	1.515142e-02	2.025474e-02
